,มาตรา,เนื้อหา,หัวข้อ,category
514,140,เมื่อพนักงานสอบสวนผู้รับผิดชอบในการสอบสวน เห็นว่าการสอบสวนเสร็จแล้ว ให้จัดการอย่างหนึ่งอย่างใด ดังต่อไปนี้ (1) ถ้าไม่ปรากฏว่าผู้ใดเป็นผู้กระทำความผิดและความผิดนั้นมีอัตราโทษจำคุกอย่างสูงไม่เกินสามปี ให้พนักงานสอบสวนงดการสอบสวน และบันทึกเหตุที่งดนั้นไว้ แล้วให้ส่งบันทึกพร้อมกับสำนวนไปยังพนักงานอัยการ ถ้าอัตราโทษอย่างสูงเกินกว่าสามปี ให้พนักงานสอบสวนส่งสำนวนไปยังพนักงานอัยการพร้อมทั้งความเห็นที่ควรให้งดการสอบสวน ถ้าพนักงานอัยการสั่งให้งด หรือให้ทำการสอบสวนต่อไป ให้พนักงานสอบสวนปฏิบัติตามนั้น (2) ถ้ารู้ตัวผู้กระทำผิด ให้ใช้บทบัญญัติในสี่มาตราต่อไปนี้,ประมวลกฎหมายวิธีพิจารณาความอาญา,ขั้นตอนการสอบสวนและการส่งสำนวน
515,141,ถ้ารู้ตัวผู้กระทำความผิด แต่เรียกหรือจับตัวยังไม่ได้ เมื่อได้ความตามทางสอบสวนอย่างใด ให้ทำความเห็นว่าควรสั่งฟ้องหรือสั่งไม่ฟ้องส่งไปพร้อมกับสำนวนยังพนักงานอัยการ ถ้าพนักงานอัยการเห็นชอบด้วยว่าควรสั่งไม่ฟ้อง ให้ยุติการสอบสวนโดยสั่งไม่ฟ้อง และให้แจ้งคำสั่งนี้ให้พนักงานสอบสวนทราบ ถ้าพนักงานอัยการเห็นว่าควรสอบสวนต่อไป ก็ให้สั่งพนักงานสอบสวนปฏิบัติเช่นนั้น ถ้าพนักงานอัยการเห็นว่าควรสั่งฟ้อง ก็ให้จัดการอย่างหนึ่งอย่างใดเพื่อให้ได้ตัวผู้ต้องหามา ถ้าผู้ต้องหาอยู่ต่างประเทศ ให้พนักงานอัยการจัดการเพื่อขอให้ส่งตัวข้ามแดนมา,ประมวลกฎหมายวิธีพิจารณาความอาญา,การตัดสินใจสั่งฟ้องหรือไม่ฟ้อง
516,142,ถ้ารู้ตัวผู้กระทำความผิดและผู้นั้นถูกควบคุม หรือขังอยู่ หรือปล่อยชั่วคราวหรือเชื่อว่าคงได้ตัวมาเมื่อออกหมายเรียก ให้พนักงานสอบสวนทำความเห็นตามท้องสำนวนการสอบสวน ว่าควรสั่งฟ้องหรือสั่งไม่ฟ้องส่งไปยังพนักงานอัยการพร้อมด้วยสำนวน ในกรณีที่เสนอความเห็นควรสั่งไม่ฟ้อง ให้ส่งแต่สำนวนพร้อมด้วยความเห็นไปยังพนักงานอัยการ ส่วนตัวผู้ต้องหาให้พนักงานสอบสวนมีอำนาจปล่อยหรือปล่อยชั่วคราว           ถ้าผู้ต้องหาถูกขังอยู่ ให้ขอเองหรือขอให้พนักงานอัยการขอต่อศาลให้ปล่อย ในกรณีที่เสนอความเห็นควรสั่งฟ้อง ให้พนักงานสอบสวนส่งสำนวนพร้อมกับผู้ต้องหาไปยังพนักงานอัยการ เว้นแต่ผู้ต้องหานั้นถูกขังอยู่แล้ว หรือผู้ต้องหาซึ่งถูกแจ้งข้อหาได้หลบหนีไป แต่ถ้าเป็นความผิด ซึ่งพนักงานสอบสวนเปรียบเทียบได้ และผู้กระทำความผิดได้ปฏิบัติตามเปรียบเทียบนั้นแล้ว ให้บันทึกการเปรียบเทียบนั้นไว้ แล้วส่งไปให้พนักงานอัยการพร้อมด้วยสำนวน,ประมวลกฎหมายวิธีพิจารณาความอาญา,การเสนอความเห็นของพนักงานสอบสวนและกระบวนการส่งผู้ต้องหา
517,143,เมื่อได้รับความเห็นและสำนวนจากพนักงานสอบสวนดังกล่าวในมาตราก่อน ให้พนักงานอัยการปฏิบัติดังต่อไปนี้ (1) ในกรณีที่มีความเห็นควรสั่งไม่ฟ้อง ให้ออกคำสั่งไม่ฟ้อง แต่ถ้าไม่เห็นชอบด้วย         ก็ให้สั่งฟ้องและแจ้งให้พนักงานสอบสวนส่งผู้ต้องหามาเพื่อฟ้องต่อไป (2) ในกรณีมีความเห็นควรสั่งฟ้อง ให้ออกคำสั่งฟ้องและฟ้องผู้ต้องหาต่อศาล                     ถ้าไม่เห็นชอบด้วย ก็ให้สั่งไม่ฟ้อง ในกรณีหนึ่งกรณีใดข้างต้น พนักงานอัยการมีอำนาจ (ก) สั่งตามที่เห็นควร ให้พนักงานสอบสวนดำเนินการสอบสวนเพิ่มเติมหรือส่งพยานคนใดมาให้ซักถามเพื่อสั่งต่อไป (ข) วินิจฉัยว่าควรปล่อยผู้ต้องหา ปล่อยชั่วคราว ควบคุมไว้ หรือขอให้ศาลขัง แล้วแต่กรณี และจัดการหรือสั่งการให้เป็นไปตามนั้น ในคดีฆาตกรรม ซึ่งผู้ตายถูกเจ้าพนักงานซึ่งอ้างว่าปฏิบัติราชการตามหน้าที่ฆ่าตาย หรือตายในระหว่างอยู่ในความควบคุมของเจ้าพนักงานซึ่งอ้างว่าปฏิบัติราชการตามหน้าที่ อธิบดีกรมอัยการหรือผู้รักษาการแทนเท่านั้นมีอำนาจออกคำสั่งฟ้องหรือไม่ฟ้อง,ประมวลกฎหมายวิธีพิจารณาความอาญา,ขั้นตอนการตัดสินใจของพนักงานอัยการในการรับฟังความเห็นพนักงานสอบสวน
518,144,ในกรณีที่พนักงานอัยการมีคำสั่งฟ้อง ถ้าความผิดนั้นเป็นความผิดซึ่งอาจเปรียบเทียบได้ ถ้าเห็นสมควรพนักงานอัยการมีอำนาจ ดังต่อไปนี้ (1) สั่งให้พนักงานสอบสวนพยายามเปรียบเทียบคดีนั้น แทนการที่จะส่งผู้ต้องหาไปยังพนักงานอัยการ (2) เมื่อผู้ต้องหาถูกส่งมายังพนักงานอัยการแล้ว สั่งให้ส่งผู้ต้องหาพร้อมด้วยสำนวนกลับไปยังพนักงานสอบสวนให้พยายามเปรียบเทียบคดีนั้น หรือถ้าเห็นสมควรจะสั่งให้พนักงานสอบสวนอื่นที่มีอำนาจจัดการเปรียบเทียบให้ก็ได้,ประมวลกฎหมายวิธีพิจารณาความอาญา,การดำเนินคดีและการเปรียบเทียบคดี
519,145,ในกรณีที่มีคำสั่งไม่ฟ้อง และคำสั่งนั้นไม่ใช่ของอธิบดีกรมอัยการ ถ้าในนครหลวงกรุงเทพธนบุรี ให้รีบส่งสำนวนการสอบสวนพร้อมกับคำสั่งไปเสนออธิบดีกรมตำรวจ รองอธิบดีกรมตำรวจ หรือผู้ช่วยอธิบดีกรมตำรวจ ถ้าในจังหวัดอื่นให้รีบส่งสำนวนการสอบสวนพร้อมกับคำสั่งไปเสนอผู้ว่าราชการจังหวัด แต่ทั้งนี้ มิได้ตัดอำนาจพนักงานอัยการที่จะจัดการอย่างใดแก่ผู้ต้องหาดังบัญญัติไว้ในมาตรา 143 ในกรณีที่อธิบดีกรมตำรวจ รองอธิบดีกรมตำรวจหรือผู้ช่วยอธิบดีกรมตำรวจในนครหลวงกรุงเทพธนบุรี หรือผู้ว่าราชการจังหวัดในจังหวัดอื่นแย้งคำสั่งของพนักงานอัยการ ให้ส่งสำนวนพร้อมกับความเห็นที่แย้งกันไปยังอธิบดีกรมอัยการเพื่อชี้ขาด แต่ถ้าคดีจะขาดอายุความหรือ        มีเหตุอย่างอื่นอันจำเป็นจะต้องรีบฟ้อง ก็ให้ฟ้องคดีนั้นตามความเห็นของอธิบดีกรมตำรวจ      รองอธิบดีกรมตำรวจ ผู้ช่วยอธิบดีกรมตำรวจ หรือผู้ว่าราชการจังหวัดไปก่อน บทบัญญัติในมาตรานี้ ให้นำมาบังคับในการที่พนักงานอัยการจะอุทธรณ์ ฎีกา หรือ        ถอนฟ้อง ถอนอุทธรณ์และถอนฎีกาโดยอนุโลม,ประมวลกฎหมายวิธีพิจารณาความอาญา,ขั้นตอนการส่งสำนวนการสอบสวนและคำสั่ง
520,145/1,สำหรับการสอบสวนซึ่งอยู่ในความรับผิดชอบของเจ้าพนักงานตำรวจในกรณีที่มีคำสั่งไม่ฟ้องและคำสั่งนั้นไม่ใช่คำสั่งของอัยการสูงสุด ถ้าในกรุงเทพมหานครให้รีบส่งสำนวนการสอบสวนพร้อมกับคำสั่งเสนอผู้บัญชาการตำรวจแห่งชาติ รองผู้บัญชาการตำรวจแห่งชาติ หรือผู้ช่วยผู้บัญชาการตำรวจแห่งชาติ ถ้าในจังหวัดอื่นให้รีบส่งสำนวนการสอบสวนพร้อมกับคำสั่งเสนอผู้บัญชาการหรือรองผู้บัญชาการ ซึ่งเป็นผู้บังคับบัญชาของพนักงานสอบสวนผู้รับผิดชอบ แต่ทั้งนี้ มิได้ตัดอำนาจพนักงานอัยการที่จะจัดการอย่างใดแก่ผู้ต้องหาดังบัญญัติไว้ในมาตรา 143 ในกรณีที่ผู้บัญชาการตำรวจแห่งชาติ รองผู้บัญชาการตำรวจแห่งชาติ หรือผู้ช่วย                  ผู้บัญชาการตำรวจแห่งชาติในกรุงเทพมหานคร หรือผู้บัญชาการหรือรองผู้บัญชาการซึ่งเป็นผู้บังคับบัญชาของพนักงานสอบสวนผู้รับผิดชอบในจังหวัดอื่นแย้งคำสั่งของพนักงานอัยการให้ส่งสำนวนพร้อมกับความเห็นที่แย้งไปยังอัยการสูงสุดเพื่อชี้ขาด แต่ถ้าคดีจะขาดอายุความ หรือมีเหตุอย่างอื่นอันจำเป็นจะต้องรีบฟ้อง ก็ให้ฟ้องคดีนั้นตามความเห็นของผู้บัญชาการตำรวจแห่งชาติ รองผู้บัญชาการตำรวจแห่งชาติ ผู้ช่วยผู้บัญชาการตำรวจแห่งชาติ ผู้บัญชาการหรือ          รองผู้บัญชาการดังกล่าวแล้วแต่กรณีไปก่อน บทบัญญัติในมาตรานี้ ให้นำมาบังคับในการที่พนักงานอัยการจะอุทธรณ์ ฎีกา หรือถอนฟ้องถอนอุทธรณ์และถอนฎีกาโดยอนุโลม,ประมวลกฎหมายวิธีพิจารณาความอาญา,ขั้นตอนการส่งสำนวนการสอบสวนและการแย้งคำสั่งของพนักงานอัยการ
521,146,ให้แจ้งคำสั่งเด็ดขาดไม่ฟ้องคดีให้ผู้ต้องหาและผู้ร้องทุกข์ทราบ ถ้าผู้ต้องหาถูกควบคุมหรือขังอยู่ ให้จัดการปล่อยตัวไปหรือขอให้ศาลปล่อย แล้วแต่กรณี เมื่อพนักงานอัยการมีคำสั่งเด็ดขาดไม่ฟ้องแล้ว ผู้เสียหาย ผู้ต้องหา หรือผู้มีส่วนได้เสียมีสิทธิร้องขอต่อพนักงานอัยการเพื่อขอทราบสรุปพยานหลักฐานพร้อมความเห็นของพนักงานสอบสวนและพนักงานอัยการในการสั่งคดี  ทั้งนี้ ภายในกำหนดอายุความฟ้องร้อง,ประมวลกฎหมายวิธีพิจารณาความอาญา,คำสั่งฟ้องคดีและขั้นตอนการร้องขอข้อมูล
522,147,เมื่อมีคำสั่งเด็ดขาดไม่ฟ้องคดีแล้ว ห้ามมิให้มีการสอบสวนเกี่ยวกับบุคคลนั้นในเรื่องเดียวกันนั้นอีก เว้นแต่จะได้พยานหลักฐานใหม่อันสำคัญแก่คดี ซึ่งน่าจะทำให้ศาลลงโทษผู้ต้องหานั้นได้ วรรคสอง  (สภาไม่อนุมัติ),ประมวลกฎหมายวิธีพิจารณาความอาญา,ข้อตกลงในการไม่ฟ้องคดี
523,148,เมื่อปรากฏแน่ชัด หรือมีเหตุอันควรสงสัยว่าบุคคลใดตายโดยผิดธรรมชาติ หรือตายในระหว่างอยู่ในความควบคุมของเจ้าพนักงาน ให้มีการชันสูตรพลิกศพ เว้นแต่ตายโดยการประหารชีวิตตามกฎหมาย การตายโดยผิดธรรมชาตินั้น คือ (1) ฆ่าตัวตาย (2) ถูกผู้อื่นทำให้ตาย (3) ถูกสัตว์ทำร้ายตาย (4) ตายโดยอุบัติเหตุ (5) ตายโดยยังมิปรากฏเหตุ,ประมวลกฎหมายวิธีพิจารณาความอาญา,ประเภทของการตาย
524,149,ความตายผิดธรรมชาติเกิดมีขึ้น ณ ที่ใด ให้เป็นหน้าที่ของสามี ภริยา ญาติ มิตรสหายหรือผู้ปกครองของผู้ตายที่รู้เรื่องการตายเช่นนั้นจัดการ ดังต่อไปนี้ (1) เก็บศพไว้ ณ ที่ซึ่งพบนั้นเองเพียงเท่าที่จะทำได้ (2) ไปแจ้งความแก่พนักงานฝ่ายปกครองหรือตำรวจโดยเร็วที่สุด หน้าที่ดังกล่าวในวรรคต้นนั้นมีตลอดถึงผู้อื่น ซึ่งได้พบศพในที่ซึ่งไม่มีสามีภริยา ญาติ มิตรสหาย หรือผู้ปกครองของผู้ตายอยู่ในที่นั้นด้วย ผู้ใดละเลยไม่กระทำหน้าที่ดังบัญญัติไว้ในมาตรานี้ ต้องระวางโทษปรับไม่เกินหนึ่งพันบาท,ประมวลกฎหมายวิธีพิจารณาความอาญา,หน้าที่ในการจัดการศพเมื่อเกิดความตายผิดธรรมชาติ
525,150,ในกรณีที่จะต้องมีการชันสูตรพลิกศพ ให้พนักงานสอบสวนแห่งท้องที่ที่ศพนั้นอยู่กับแพทย์ทางนิติเวชศาสตร์ซึ่งได้รับวุฒิบัตรหรือได้รับหนังสืออนุมัติจากแพทยสภา ทำการชันสูตรพลิกศพโดยเร็ว ถ้าแพทย์ทางนิติเวชศาสตร์ดังกล่าวไม่มีหรือไม่อาจปฏิบัติหน้าที่ได้ ให้แพทย์ประจำโรงพยาบาลของรัฐปฏิบัติหน้าที่ ถ้าแพทย์ประจำโรงพยาบาลของรัฐไม่มีหรือไม่อาจปฏิบัติหน้าที่ได้ให้แพทย์ประจำสำนักงานสาธารณสุขจังหวัดปฏิบัติหน้าที่ ถ้าแพทย์ประจำสำนักงานสาธารณสุขจังหวัดไม่มีหรือไม่อาจปฏิบัติหน้าที่ได้ ให้แพทย์ประจำโรงพยาบาลของเอกชนหรือแพทย์ผู้ประกอบวิชาชีพเวชกรรมที่ขึ้นทะเบียนเป็นแพทย์อาสาสมัครตามระเบียบ ของกระทรวงสาธารณสุขปฏิบัติหน้าที่ และในการปฏิบัติหน้าที่ดังกล่าว ให้แพทย์ประจำโรงพยาบาลของเอกชนหรือแพทย์ผู้ประกอบวิชาชีพเวชกรรมผู้นั้น เป็นเจ้าพนักงานตามประมวลกฎหมายอาญา ทั้งนี้ ให้พนักงานสอบสวนและแพทย์ดังกล่าวทำบันทึกรายละเอียดแห่งการชันสูตรพลิกศพทันที และให้แพทย์ดังกล่าวทำรายงานแนบท้ายบันทึกรายละเอียดแห่ง การชันสูตรพลิกศพด้วยภายในเจ็ดวันนับแต่วันที่ได้รับแจ้งเรื่อง ถ้ามีความจำเป็นให้ขยายระยะเวลาออกไปได้ไม่เกินสองครั้ง ครั้งละไม่เกินสามสิบวัน แต่ต้องบันทึกเหตุผลและความจำเป็นในการขยายระยะเวลาทุกครั้งไว้ในสำนวนชันสูตรพลิกศพ รายงานดังกล่าวให้ถือเป็นส่วนหนึ่งของสำนวนชันสูตรพลิกศพ และในกรณีที่ความตายมิได้เป็นผลแห่งการกระทำผิดอาญา ให้พนักงานสอบสวนส่งสำนวนชันสูตรพลิกศพไปยังพนักงานอัยการเมื่อเสร็จสิ้นการชันสูตรพลิกศพโดยเร็วและให้พนักงานอัยการดำเนินการต่อไปตามมาตรา 156 ให้เป็นหน้าที่ของพนักงานสอบสวนแจ้งแก่ผู้มีหน้าที่ไปทำการชันสูตรพลิกศพทราบ และก่อนการชันสูตรพลิกศพ ให้พนักงานสอบสวนแจ้งให้สามี ภริยา ผู้บุพการี ผู้สืบสันดาน ผู้แทนโดยชอบธรรม ผู้อนุบาล หรือญาติของผู้ตายอย่างน้อยหนึ่งคนทราบเท่าที่จะทำได้ ในกรณีที่มีความตายเกิดขึ้นโดยการกระทำของเจ้าพนักงานซึ่งอ้างว่าปฏิบัติราชการตามหน้าที่หรือตายในระหว่างอยู่ในความควบคุมของเจ้าพนักงานซึ่งอ้างว่าปฏิบัติราชการตามหน้าที่ ให้พนักงานอัยการและพนักงานฝ่ายปกครองตำแหน่งตั้งแต่ระดับปลัดอำเภอหรือเทียบเท่าขึ้นไปแห่งท้องที่ที่ศพนั้นอยู่เป็นผู้ชันสูตรพลิกศพร่วมกับพนักงานสอบสวนและแพทย์ตามวรรคหนึ่ง และให้นำบทบัญญัติในวรรคสองมาใช้บังคับ เมื่อได้มีการชันสูตรพลิกศพตามวรรคสามแล้ว ให้พนักงานสอบสวนแจ้งให้พนักงานอัยการเข้าร่วมกับพนักงานสอบสวนทำสำนวนชันสูตรพลิกศพให้เสร็จภายในสามสิบวันนับแต่วันที่ได้รับแจ้งถ้ามีความจำเป็นให้ขยายระยะเวลาออกไปได้ไม่เกินสองครั้ง ครั้งละไม่เกินสามสิบวันแต่ต้องบันทึกเหตุผลและความจำเป็นในการขยายระยะเวลาทุกครั้งไว้ในสำนวนชันสูตรพลิกศพ เมื่อได้รับสำนวนชันสูตรพลิกศพแล้ว ให้พนักงานอัยการทำคำร้องขอต่อศาลชั้นต้นแห่งท้องที่ที่ศพนั้นอยู่ เพื่อให้ศาลทำการไต่สวนและทำคำสั่งแสดงว่าผู้ตายคือใคร ตายที่ไหน เมื่อใด และถึงเหตุและพฤติการณ์ที่ตาย ถ้าตายโดยคนทำร้ายให้กล่าวว่าใครเป็นผู้กระทำร้ายเท่าที่จะทราบได้ ภายในสามสิบวันนับแต่วันที่ได้รับสำนวน ถ้ามีความจำเป็น ให้ขยายระยะเวลาออกไปได้ไม่เกินสองครั้ง ครั้งละไม่เกินสามสิบวัน แต่ต้องบันทึกเหตุผลและความจำเป็นในการขยายระยะเวลาทุกครั้งไว้ในสำนวนชันสูตรพลิกศพ ในการปฏิบัติหน้าที่ตามวรรคหนึ่ง วรรคสาม วรรคสี่ และวรรคห้า ให้พนักงานสอบสวนปฏิบัติตามคำสั่งของพนักงานอัยการ ในการไต่สวนตามวรรคห้า ให้ศาลปิดประกาศแจ้งกำหนดวันที่จะทำการไต่สวนไว้ที่ศาล และให้พนักงานอัยการยื่นคำร้องต่อศาลขอให้ศาลส่งสำเนาคำร้องและแจ้งกำหนดวันนัดไต่สวนให้สามี ภริยา ผู้บุพการี ผู้สืบสันดาน ผู้แทนโดยชอบธรรม ผู้อนุบาล หรือญาติของผู้ตายตามลำดับอย่างน้อยหนึ่งคนเท่าที่จะทำได้ทราบก่อนวันนัดไต่สวนไม่น้อยกว่าสิบห้าวันและให้พนักงานอัยการนำพยานหลักฐานทั้งปวงที่แสดงถึงการตายมาสืบ เมื่อศาลได้ปิดประกาศแจ้งกำหนดวันที่จะทำการไต่สวนแล้ว และก่อนการไต่สวนเสร็จสิ้น สามี ภริยา ผู้บุพการี ผู้สืบสันดาน ผู้แทนโดยชอบธรรม ผู้อนุบาล หรือญาติของผู้ตายมีสิทธิยื่นคำร้องต่อศาลขอเข้ามาซักถามพยานที่พนักงานอัยการนำสืบและนำสืบพยานหลักฐานอื่นได้ด้วย เพื่อการนี้ สามี ภริยา ผู้บุพการี ผู้สืบสันดาน ผู้แทนโดยชอบธรรม ผู้อนุบาล หรือญาติของผู้ตายมีสิทธิแต่งตั้งทนายความดำเนินการแทนได้ หากไม่มีทนายความที่ได้รับการแต่งตั้งจากบุคคลดังกล่าวเข้ามาในคดีให้ศาลตั้งทนายความขึ้นเพื่อทำหน้าที่ทนายความฝ่ายญาติผู้ตาย เมื่อศาลเห็นสมควรเพื่อประโยชน์แห่งความยุติธรรม ศาลจะเรียกพยานที่นำสืบมาแล้วมาสืบเพิ่มเติมหรือเรียกพยานหลักฐานอื่นมาสืบก็ได้ และศาลอาจขอให้ผู้ทรงคุณวุฒิหรือผู้เชี่ยวชาญมาให้ความเห็นเพื่อประกอบการไต่สวนและทำคำสั่ง  แต่ทั้งนี้ ไม่ตัดสิทธิของผู้นำสืบพยานหลักฐานตามวรรคแปดที่จะขอให้เรียกผู้ทรงคุณวุฒิหรือผู้เชี่ยวชาญอื่นมาให้ความเห็นโต้แย้งหรือเพิ่มเติมความเห็นของผู้ทรงคุณวุฒิหรือผู้เชี่ยวชาญดังกล่าว คำสั่งของศาลตามมาตรานี้ให้ถึงที่สุด แต่ไม่กระทบกระเทือนถึงสิทธิฟ้องร้อง และการพิจารณาพิพากษาคดีของศาล หากพนักงานอัยการหรือบุคคลอื่นได้ฟ้องหรือจะฟ้องคดีเกี่ยวกับการตายนั้น เมื่อศาลได้มีคำสั่งแล้ว ให้ส่งสำนวนการไต่สวนของศาลไปยังพนักงานอัยการ เพื่อส่งแก่พนักงานสอบสวนดำเนินการต่อไป แพทย์ตามวรรคหนึ่ง เจ้าพนักงานผู้ได้ทำการชันสูตรพลิกศพ และผู้ทรงคุณวุฒิ        หรือผู้เชี่ยวชาญที่ศาลขอให้มาให้ความเห็นตามมาตรานี้มีสิทธิได้รับค่าตอบแทน หรือ              ค่าป่วยการ ค่าพาหนะเดินทางและค่าเช่าที่พัก ตามระเบียบที่กระทรวงยุติธรรมกำหนดโดยความเห็นชอบของกระทรวงการคลังส่วนทนายความที่ศาลตั้งตามมาตรานี้ มีสิทธิได้รับเงินรางวัลและค่าใช้จ่ายเช่นเดียวกับทนายความที่ศาลตั้งตามมาตรา 173,ประมวลกฎหมายวิธีพิจารณาความอาญา,ขั้นตอนการชันสูตรพลิกศพและการสอบสวน
526,150ทวิ, ผู้ใดกระทำการใด ๆ แก่ศพหรือสภาพแวดล้อมในบริเวณที่พบศพก่อนการชันสูตรพลิกศพเสร็จสิ้น ในประการที่น่าจะทำให้การชันสูตรพลิกศพหรือผลทางคดีเปลี่ยนแปลงไป เว้นแต่จำเป็นต้องกระทำเพื่อป้องกันอันตรายแก่อนามัยของประชาชนหรือเพื่อประโยชน์สาธารณะอย่างอื่น ต้องระวางโทษจำคุกตั้งแต่หกเดือนถึงสองปี หรือปรับตั้งแต่หนึ่งหมื่นบาทถึงสี่หมื่นบาท หรือทั้งจำทั้งปรับ ถ้าการกระทำความผิดตามวรรคหนึ่งเป็นการกระทำโดยทุจริตหรือเพื่ออำพรางคดี ผู้กระทำต้องระวางโทษเป็นสองเท่าของโทษที่กำหนดไว้สำหรับความผิดนั้น,ประมวลกฎหมายวิธีพิจารณาความอาญา,ความผิดในการทำลายหรือเปลี่ยนแปลงสภาพศพหรือบริเวณที่พบศพ
527,151,ในเมื่อมีการจำเป็นเพื่อพบเหตุของการตาย เจ้าพนักงานผู้ทำการชันสูตรพลิกศพมีอำนาจสั่งให้ผ่าศพแล้วแยกธาตุส่วนใด หรือจะให้ส่งทั้งศพหรือบางส่วนไปยังแพทย์หรือพนักงานแยกธาตุของรัฐบาลก็ได้,ประมวลกฎหมายวิธีพิจารณาความอาญา,- หมวดหมู่: การชันสูตรพลิกศพและการแยกธาตุ
528,152,ให้แพทย์หรือพนักงานแยกธาตุของรัฐบาลปฏิบัติดังนี้ (1) ทำรายงานถึงสภาพของศพ หรือส่วนของศพตามที่พบเห็นหรือตามที่ปรากฏจากการตรวจพร้อมทั้งความเห็นในเรื่องนั้น (2) แสดงเหตุที่ตายเท่าที่จะทำได้ (3) ลงวันเดือนปีและลายมือชื่อในรายงาน แล้วจัดการส่งไปยังเจ้าพนักงานผู้ทำการชันสูตรพลิกศพ,ประมวลกฎหมายวิธีพิจารณาความอาญา,ขั้นตอนการชันสูตรพลิกศพ
529,153,ถ้าศพฝังไว้แล้ว ให้ผู้ชันสูตรพลิกศพจัดให้ขุดศพขึ้นเพื่อตรวจดู เว้นแต่จะเห็นว่าไม่จำเป็นหรือจะเป็นอันตรายแก่อนามัยของประชาชน,ประมวลกฎหมายวิธีพิจารณาความอาญา,ขั้นตอนการชันสูตรศพ
530,154,ให้ผู้ชันสูตรพลิกศพทำความเห็นเป็นหนังสือแสดงเหตุและพฤติการณ์ที่ตาย ผู้ตายคือใคร ตายที่ไหน เมื่อใด ถ้าตายโดยคนทำร้าย ให้กล่าวว่าใครหรือสงสัยว่าใครเป็นผู้กระทำผิดเท่าที่จะทราบได้,ประมวลกฎหมายวิธีพิจารณาความอาญา,ข้อมูลเกี่ยวกับเหตุการณ์การเสียชีวิต
531,155,ให้นำบทบัญญัติในประมวลกฎหมายนี้อันว่าด้วยการสอบสวนมาใช้แก่การชันสูตรพลิกศพโดยอนุโลม ให้นำบทบัญญัติในมาตรา 172 ตรี มาใช้บังคับโดยอนุโลมแก่การไต่สวนของศาลตามมาตรา 150 ในคดีที่พยานเป็นเด็กอายุไม่เกินสิบแปดปี,ประมวลกฎหมายวิธีพิจารณาความอาญา,การใช้บทบัญญัติการสอบสวนในชันสูตรพลิกศพและการไต่สวนของศาล
532,155/1,การสอบสวนในกรณีที่มีความตายเกิดขึ้นโดยการกระทำของ เจ้าพนักงานซึ่งอ้างว่าปฏิบัติราชการตามหน้าที่ หรือตายในระหว่างอยู่ในความควบคุมของ เจ้าพนักงานซึ่งอ้างว่าปฏิบัติราชการตามหน้าที่ หรือในกรณีที่ผู้ตายถูกกล่าวหาว่าต่อสู้ขัดขวาง เจ้าพนักงานซึ่งอ้างว่าปฏิบัติราชการตามหน้าที่ ให้พนักงานสอบสวนแจ้งให้พนักงานอัยการเข้าร่วมกับพนักงานสอบสวนในการทำสำนวนสอบสวน การทำสำนวนสอบสวนตามวรรคหนึ่ง ให้พนักงานสอบสวนเป็นผู้รับผิดชอบโดยพนักงานอัยการอาจให้คำแนะนำ ตรวจสอบพยานหลักฐาน ถามปากคำ หรือสั่งให้ถามปากคำบุคคลที่เกี่ยวข้องได้ตั้งแต่เริ่มการทำสำนวนสอบสวนนับแต่โอกาสแรกเท่าที่จะพึงกระทำได้  ทั้งนี้ ตามหลักเกณฑ์และวิธีการที่กำหนดในกฎกระทรวง ในกรณีจำเป็นเร่งด่วนและมีเหตุอันควรไม่อาจรอพนักงานอัยการเข้าร่วมในการทำสำนวนสอบสวนให้พนักงานสอบสวนทำสำนวนต่อไปได้ แต่ต้องบันทึกเหตุที่ไม่อาจรอพนักงานอัยการไว้ในสำนวนและถือว่าเป็นการทำสำนวนสอบสวนที่ชอบด้วยกฎหมาย,ประมวลกฎหมายวิธีพิจารณาความอาญา,การสอบสวนในกรณีความตายของผู้ต้องขังหรือผู้ถูกควบคุม
533,156,ให้ส่งสำนวนชันสูตรพลิกศพในกรณีที่ความตายมิได้เป็นผลแห่งการกระทำผิดอาญาไปยังข้าหลวงประจำจังหวัด,ประมวลกฎหมายวิธีพิจารณาความอาญา,สำนวนชันสูตร
534,157,การฟ้องคดีอาญาให้ยื่นฟ้องต่อศาลใดศาลหนึ่งที่มีอำนาจตามบทบัญญัติแห่งประมวลกฎหมายนี้หรือกฎหมายอื่น,ประมวลกฎหมายวิธีพิจารณาความอาญา,การฟ้องคดีอาญา
